2020/02/10,4338
2020/02/11,6459
2020/02/12,7624
2020/02/13,6125
2020/02/14,7327
2020/02/15,5696
2020/02/16,3710
2020/02/17,6905
2020/02/18,7857
2020/02/19,7019
2020/02/20,6654
2020/02/21,7340
2020/02/22,6001
2020/02/23,4556
2020/02/24,7550
2020/02/25,7673
2020/02/26,7038
2020/02/27,5699
2020/02/28,7358
2020/02/29,5084
2020/03/01,2583
2020/03/02,6085
2020/03/03,8900
2020/03/04,8096
2020/03/05,5466
2020/03/06,8376
2020/03/07,6580
2020/03/08,3836
2020/03/09,7963
2020/03/10,8697
2020/03/11,9779
2020/03/12,9092
2020/03/13,9300
2020/03/14,5477
2020/03/15,4577
2020/03/16,5125
2020/03/17,2201
2020/03/18,1404
2020/03/19,1458
2020/03/20,1246
2020/03/21,716
2020/03/22,525
2020/03/23,1128
2020/03/24,1145
2020/03/25,1129
2020/03/26,1181
2020/03/27,1263
2020/03/28,857
2020/03/29,520
2020/03/30,1098
2020/03/31,1243
2020/04/01,1320
2020/04/02,1256
2020/04/03,1444
2020/04/04,942
2020/04/05,721
2020/04/06,1220
2020/04/07,1629
2020/04/08,1617
2020/04/09,1631
2020/04/10,1739
2020/04/11,1168
2020/04/12,896
2020/04/13,992
2020/04/14,1743
2020/04/15,1869
2020/04/16,1881
2020/04/17,2046
2020/04/18,1302
2020/04/19,1092
2020/04/20,1990
2020/04/21,2053
2020/04/22,2153
2020/04/23,2146
2020/04/24,2137
2020/04/25,1391
2020/04/26,1252
2020/04/27,1988
2020/04/28,2023
2020/04/29,1885
2020/04/30,1941
2020/05/01,1238
2020/05/02,1694
2020/05/03,1175
2020/05/04,2459
2020/05/05,2099
2020/05/06,2933
2020/05/07,3051
2020/05/08,2093
2020/05/09,1913
2020/05/10,1567
2020/05/11,5831
2020/05/12,7288
2020/05/13,7732
2020/05/14,8391
2020/05/15,8786
2020/05/16,8589
2020/05/17,7155
2020/05/18,8818
2020/05/19,10267
2020/05/20,10593
2020/05/21,8502
2020/05/22,9094
2020/05/23,8209
2020/05/24,7372
2020/05/25,9801
2020/05/26,11605
2020/05/27,12210
2020/05/28,12570
2020/05/29,12109
2020/05/30,10905
2020/05/31,8866
2020/06/01,9971
2020/06/02,13790
2020/06/03,13186
2020/06/04,8938
2020/06/05,10427
2020/06/06,11167
2020/06/07,7909
2020/06/08,11096
2020/06/09,13594
2020/06/10,14251
2020/06/11,13525
2020/06/12,10037
2020/06/13,11584
2020/06/14,8759
2020/06/15,12547
2020/06/16,14371
2020/06/17,14275
2020/06/18,14385
