2020/06/09,10240
2020/06/10,11231
2020/06/11,9917
2020/06/12,7164
2020/06/13,10167
2020/06/14,7741
2020/06/15,9274
2020/06/16,10364
2020/06/17,10553
2020/06/18,10026
2020/06/19,9517
2020/06/20,9706
2020/06/21,7157
2020/06/22,11052
2020/06/23,11720
2020/06/24,11521
2020/06/25,10941
2020/06/26,9813
2020/06/27,8391
2020/06/28,7587
2020/06/29,10488
2020/06/30,11814
2020/07/01,10146
2020/07/02,11203
2020/07/03,10834
2020/07/04,8794
2020/07/05,6936
2020/07/06,10260
2020/07/07,11257
2020/07/08,11916
2020/07/09,11116
2020/07/10,9804
2020/07/11,7833
2020/07/12,6451
2020/07/13,7387
2020/07/14,5755
2020/07/15,10200
2020/07/16,9708
2020/07/17,9903
2020/07/18,9491
2020/07/19,7747
2020/07/20,9172
2020/07/21,10607
2020/07/22,10728
2020/07/23,10627
2020/07/24,9327
2020/07/25,8351
2020/07/26,6893
2020/07/27,8788
2020/07/28,9611
2020/07/29,9997
2020/07/30,9036
2020/07/31,6816
2020/08/01,7268
2020/08/02,6153
2020/08/03,6446
2020/08/04,7241
2020/08/05,7222
2020/08/06,6667
2020/08/07,5285
2020/08/08,4707
2020/08/09,3566
2020/08/10,4763
2020/08/11,4642
2020/08/12,4902
2020/08/13,4974
2020/08/14,4634
2020/08/15,4847
2020/08/16,3672
2020/08/17,4705
2020/08/18,6362
2020/08/19,5423
2020/08/20,6380
2020/08/21,6068
2020/08/22,5958
2020/08/23,5390
2020/08/24,7167
2020/08/25,7193
2020/08/26,8606
2020/08/27,8447
2020/08/28,7144
2020/08/29,5831
2020/08/30,5217
2020/08/31,9669
2020/09/01,11113
2020/09/02,11141
2020/09/03,11624
2020/09/04,11501
2020/09/05,9788
2020/09/06,7397
2020/09/07,10359
2020/09/08,11397
2020/09/09,12062
2020/09/10,11875
2020/09/11,11070
2020/09/12,9803
2020/09/13,8766
2020/09/14,10214
2020/09/15,11315
2020/09/16,11722
2020/09/17,12620
2020/09/18,11701
2020/09/19,9734
2020/09/20,8283
2020/09/21,10299
2020/09/22,11612
2020/09/23,9424
2020/09/24,8407
2020/09/25,6833
2020/09/26,8485
2020/09/27,3882
2020/09/28,6146
2020/09/29,8416
2020/09/30,10329
2020/10/01,8579
2020/10/02,5636
2020/10/03,9332
2020/10/04,6062
2020/10/05,6115
2020/10/06,8528
2020/10/07,10021
2020/10/08,9995
2020/10/09,8171
2020/10/10,9545
2020/10/11,6904
2020/10/12,8827
2020/10/13,7296
2020/10/14,8866
2020/10/15,9816
2020/10/16,9316
2020/10/17,8320
2020/10/18,7861
2020/10/19,8177
2020/10/20,5883
2020/10/21,8612
2020/10/22,8345
2020/10/23,8112
2020/10/24,6787
2020/10/25,3765
2020/10/26,7673
2020/10/27,6063
2020/10/28,7989
2020/10/29,9901
2020/10/30,3523
2020/10/31,2084
2020/11/01,1480
2020/11/02,3931
2020/11/03,4684
2020/11/04,4795
2020/11/05,4956
2020/11/06,4698
2020/11/07,2773
2020/11/08,1937
2020/11/09,4867
2020/11/10,4401
2020/11/11,2422
2020/11/12,5144
2020/11/13,4753
2020/11/14,3128
2020/11/15,1460
2020/11/16,4831
2020/11/17,5482
2020/11/18,5613
2020/11/19,5095
2020/11/20,4705
2020/11/21,3805
2020/11/22,2356
2020/11/23,4337
2020/11/24,5238
2020/11/25,5283
2020/11/26,5421
2020/11/27,5168
2020/11/28,7549
2020/11/29,4631
2020/11/30,6185
2020/12/01,6441
2020/12/02,6539
2020/12/03,4404
2020/12/04,6134
2020/12/05,6148
2020/12/06,4886
2020/12/07,6173
2020/12/08,6803
2020/12/09,6436
2020/12/10,7160
2020/12/11,4787
2020/12/12,5179
2020/12/13,4609
2020/12/14,5608
2020/12/15,6665
2020/12/16,7357
2020/12/17,7407
2020/12/18,7717
2020/12/19,5502
2020/12/20,5694
2020/12/21,3555
2020/12/22,5559
2020/12/23,4407
2020/12/24,2601
2020/12/25,1615
2020/12/26,3049
2020/12/27,755
2020/12/28,2062
2020/12/29,2910
2020/12/30,4202
